カテゴリ,入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
メカ,2024-11-04,2024-11-08,,EX000973-02,吐出工キャップ用パッキン,（株）五輪パッキング,300,,外観・寸法,検査基準書 適用型式AC102,角田,外観全数寸法なみ検20,30,,本社１階,ノギス,良　内外径について形状が柔らかい物はどう計測する,
メカ,2024-11-14,2024-11-14,,EX002561-07,Mecha tray,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村長野将,外観全数寸法なみ検20,60,2,中宗岡倉庫,ノギス,良　ノギスでの寸法計測に難しさがある,
メカ,2024-11-14,2024-11-14,,EX002878-01,サーボホルダ(AC20),北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,角田,外観全数寸法なみ検20,120,,本社１階,ノギス,良　気持ちインサート面に反りがあるように見える,
メカ,2024-11-14,2024-11-15,,EX002037-16,Arm holder nut,北村化学/サンリード,1200,,外観のみに変更,検査基準書 適用型式AC102,角田,,240,,地階,無し,良　員数確認作業と併行したため時間は長い,
メカ,2024-11-12,2024-11-18,,EX000807-21,Condition LED base,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良　ノギスで測ると設計値とずれます,
メカ,2024-11-12,2024-11-18,,EX002559-11,コネクタロックA,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,50,,本社１階,ノギス,良　ノギスで測ると設計値とずれます,
メカ,2024-11-12,2024-11-18,,EX002560-12,コネクタロックB,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,40,,本社１階,ノギス,良　ノギスで測ると設計値とずれます,
メカ,2024-11-18,2024-11-19,,EX002847-02,FPV Unit cover (AC102),北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,角田,外観全数寸法なみ検20,60,,本社１階,ノギス,良　ノギスで測ると設計値とずれます,
メカ,2024-11-18,2024-11-19,,EX002848-02,FPV Holder (AC102),北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,40,,本社１階,ノギス,良　ノギスでの計測は設計値と異なる,
メカ,2024-11-12,2024-11-15,,EX000762-04,Liquid　Tank　9L,FAモールディング,209,13,外観,検査基準書 適用型式AC102,西村西浦,全数,240,2,中宗岡倉庫,平板、フィルター,不良多し、インサート抜け、吐出口削りすぎ,
