カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),検査場所,検査治具,検査結果・備考,その他
Api,2025-07-15,2025-07-17,EX002878-01,Lower Plate（AC102）,,20,,外観,検査基準書 適用型式AC102,西村,外観全数,30,本社１階,,,
Api,2025-07-15,2025-07-17,N/A,Power cable,,100,,,,,,,本社１階,,,
Api,2025-07-15,2025-07-17,EX002616-02,Battery connnector hoder,,100,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数,,本社１階,,,
Api,2025-07-21,2025-07-29,EX000746-03,Arm pipe Assy,,18,,外観,検査基準書 適用型式AC102,西村,外観全数,,本社１階,,,
Api,2025-07-21,2025-07-29,EXA000027-11,Leg(Assy),,107,,外観,検査基準書 適用型式AC102,今井,外観全数,,本社１階,,,特にリベットのカラカラ音の有無は基準に入れないのか？
Api,2025-07-21,2025-07-29,EXA000029-11,Boom(Assy)　,,58,,外観,検査基準書 適用型式AC102,今井,外観全数,,本社１階,ピンゲージM4,ノギスの代わりにピンゲージで代用,特にリベットのカラカラ音の有無は基準に入れないのか？
Api,2025-07-21,2025-07-29,EXA000028-11,Skid(Assy),,50,,外観,検査基準書 適用型式AC102,今井,外観全数,,本社１階,,ピンゲージ、レッグでノギスの代用,特にリベットのカラカラ音の有無は基準に入れないのか？
Api,2025-07-21,2025-07-29,EXA000008-31,Battery lock handle Assy,,50,,外観,検査基準書 適用型式AC102,西村,外観全数,40,本社１階,,穴寸法はピンゲージで代用,基準書にクッションの確認項目が必要では？（枝番３１なので）
Api,2025-07-21,2025-07-29,EXA000002-01,Water pump assy,,64,,外観,無し,西村,外観全数,30,本社１階,,見た目だけの受入,
Api,2025-08-25,2025-09-03,EXA000002-01,Water pump assy,,,,外観,無し,西村,外観全数,30,本社１階,,見た目だけの受入,ポンプのエンドキャップに相当する部分の継ぎ目より液体の染み出しあり（10個）
Api,2025-09-03,2025-09-16,EX000767,Arm　grommet,,400,,外観,検査基準書 適用型式AC102,長野,外観全数,60,本社１階,,サイズにバラつきあるように見える,寸法規定なしの為不問
Api,2025-09-03,2025-09-16,EX000782,float cencer,,100,,外観,この状態での基準書は無し,岩熊,外観全数,20,本社１階,,,
Api,2025-09-03,2025-09-16,EX002621-01,U-shaped grommet W,,400,,外観,この状態での基準書は無し,長野,外観全数,100,本社１階,,不具合6は不問,
Api,2025-09-03,2025-09-16,EX002622-01,U-shaped grommet S,,100,1,外観,この状態での基準書は無し,長野,外観全数,30,本社１階,,カット不良1個,
Api,2025-09-03,2025-09-16,EX000969,Quick connector(MPL8-02),,200,3,外観,この状態での基準書は無し,岩熊,外観全数,70,本社１階,,カエシ無し２、シール塗布不良１,
Api,2025-09-22,2025-09-25,EX002616-02,Battery connector holder,,300,,外観,この状態での基準書は無し,西村,外観全数,65,本社１階,,,
Api,2025-09-22,2025-09-26,EX002878-01,Lower Plate（AC102）,,15,,外観,検査基準書 適用型式AC102,西村,外観全数,20,本社１階,,,
