カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
Api,2024-11-08,2024-11-18,EX000564,Stepped bolt M3ｘ2ｘ8,,240,,,,,
Api,2025-04-28,N/A,EX000564,Stepped bolt M3ｘ2ｘ8,,1000,,,,,
