カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
メカ,2025-12-05,2025-12-05,EX002847-02,FPV Unit cover(AC102),北村化学産業㈱,50,全数,50,杉山,員数,初回納入は、全数寸法NG。メーカ側の温度管理の為マイナス寸法で出来上がり。作り直して再納入分となります。
メカ,2025-12-11,2025-12-25,EX002847-02,FPV Unit cover(AC102),北村化学産業㈱,350,全数,60,杉山,,
