AC102受け入れ検査実施リスト（メカ類）,,,,,,,,,,,,,,,,,,
※SCMより渡される検査票と下記品質基準書を用意し作業をする。,,,,,,,,,,,,,,,,,,
2024品質基準書（AC102）A25-3000-0,,,,2024品質基準書(P13)P13-3000-0,,,,,,,,,,,,,,
受け入れ検査数量は基本は外観全数、別途指示がある場合はその数量とする。,,,,,,,,,,,,,,,,,,
入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所,
45573,45576,,EX000647,タンクキャップ(AC101)　,金森産業（株）,100,,外観,検査基準書 適用型式AC101P13,角田,外観全数,40,,本社１階,無し,良,,
45573,45576,,EX000837,タンクキャップ(穴追加工)　,金森産業（株）,40,,外観,検査基準書 適用型式AC102,角田,外観全数,20,,本社１階,無し,良,,
45573,45580,,EX002851-01,センサマウントA　100pcs(初回分),金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,外観全数,25,,本社１階,無し,良,,
45573,45580,,EX002852-01,センサマウントB　100pcs(初回分),金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,外観全数,25,,本社１階,無し,良,,
45576,45582,,EX000743-05,Arm fixed holder,北村化学,1200,,外観・寸法,検査基準書 適用型式AC102,西村角田,総検査数量なみ検査20,180,2,地階,ノギス,良,,
45576,45580,,EX002890-01,FCマウントクッション,（株）五輪パッキング,1200,,外観,検査基準書 適用型式AC102,西村,外観全数,10,,本社１階,無し,良,,
45581,45580,,EX000938,unit housing_1_5,金森産業（株）,230,,外観,検査基準書 適用型式AC101P13,角田,外観全数,60,,本社１階,無し,良（ネジ穴部の成型不具合は手直し済）,,
45581,45580,,EX000936,motor cover3,金森産業（株）,230,,外観,検査基準書 適用型式AC101P13,角田,外観全数,60,,本社１階,無し,良,,
45581,45583,,EX000935,カバー_cover_4(2),金森産業（株）,330,,外観,検査基準書 適用型式AC101P13,西村,外観全数,25,,本社１階,無し,良,,
45589,45594,,EX002842-01,GPS mount (AC102),深沢製作所,280,,外観,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,,
45589,45593,,EX000941-11,誘導板 induction plate 6(1),深沢製作所,350,,外観,検査基準書 適用型式AC101P13,西村,外観全数,25,,本社１階,無し,良,,
45594,45594,,EX000937-03,撹拌棒/mixing arm,,300,,外観,検査基準書 適用型式AC101P13,西村,外観全数,40,,本社１階,無し,良,,
,45596,,EX000895,粒剤タンク 13.5L,FAモールディング,150,,外観,検査基準書 適用型式AC101P13,西村西浦,外観全数,80,2,中宗岡倉庫,使用せず,780ｇまではOＫとしたい。穴確認の為４人６０分穴合わせ作業,,
,45596,,EX000762-04,Liquid　Tank　9L,FAモールディング,50,1,外観,検査基準書 適用型式AC102,西村西浦,外観全数,180,2,中宗岡倉庫,アルミ板フィルター,黒点多し1点、990gは相談,,
45596,45601,,EX002547-11,FC Upper Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,,
45596,45601,,EX002548-12,FC Lower Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,,
45596,45601,,EX002545-11,FC Carrier Upper Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,,
45596,45601,,EX002546-11,FC Carrier Lower Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,,
45600,45604,,EX000973-02,吐出工キャップ用パッキン,（株）五輪パッキング,300,,外観・寸法,検査基準書 適用型式AC102,角田,外観全数寸法なみ検20,30,,本社１階,ノギス,良　内外径について形状が柔らかい物はどう計測する,,
45610,45610,,EX002561-07,Mecha tray,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村長野将,外観全数寸法なみ検20,60,2,中宗岡倉庫,ノギス,良　ノギスでの寸法計測に難しさがある,,
45610,45610,,EX002878-01,サーボホルダ(AC20),北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,角田,外観全数寸法なみ検20,120,,本社１階,ノギス,良　気持ちインサート面に反りがあるように見える,,
45610,45611,,EX002037-16,Arm holder nut,北村化学/サンリード,1200,,外観のみに変更,検査基準書 適用型式AC102,角田,,240,,地階,無し,良　員数確認作業と併行したため時間は長い,,
45608,45614,,EX000807-21,Condition LED base,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良　ノギスで測ると設計値とずれます,,
